слово               количество     частота(%)
никто                        1          0.03%
железом                      1          0.03%
сторожа                      1          0.03%
стукнула                     1          0.03%
консисторию                  1          0.03%
где                          1          0.03%
летнего                      1          0.03%
шагая                        1          0.03%
донес                        1          0.03%
засыпать                     1          0.03%
глупости                     1          0.03%
усевшись                     1          0.03%
метала                       1          0.03%
завидущие                    1          0.03%
исключая                     1          0.03%
счастье                      1          0.03%
потуши                       1          0.03%
поднялся                     1          0.03%
таки                         1          0.03%
зашагала                     1          0.03%
прошлом                      1          0.03%
безумие                      1          0.03%
нагнул                       1          0.03%
диво                         1          0.03%
краснея                      1          0.03%
сгибалась                    1          0.03%
стащив                       1          0.03%
покушаете                    1          0.03%
предводителя                 1          0.03%
воздух                       1          0.03%
сравнивать                   1          0.03%
можно                        1          0.03%
концов                       1          0.03%
почтовыми                    1          0.03%
поздоровайся                 1          0.03%
молодые                      1          0.03%
курами                       1          0.03%
калякал                      1          0.03%
стол                         1          0.03%
мешкам                       1          0.03%
наделала                     1          0.03%
проехала                     1          0.03%
посыпались                   1          0.03%
оборвался                    1          0.03%
подпер                       1          0.03%
церквой                      1          0.03%
дернул                       1          0.03%
вздрагивавшая                1          0.03%
странным                     1          0.03%
выло                         1          0.03%
уставилась                   1          0.03%
бормотал                     1          0.03%
четвертый                    1          0.03%
работу                       1          0.03%
лила                         1          0.03%
дьяволила                    1          0.03%
тотчас                       1          0.03%
почтой                       1          0.03%
застрявшему                  1          0.03%
будете                       1          0.03%
собираются                   1          0.03%
широкая                      1          0.03%
дорогам                      1          0.03%
знать                        1          0.03%
брата                        1          0.03%
рождеством                   1          0.03%
согретый                     1          0.03%
выпросил                     1          0.03%
дядькинский                  1          0.03%
погруженные                  1          0.03%
красней                      1          0.03%
поищи                        1          0.03%
война                        1          0.03%
бегали                       1          0.03%
таявшую                      1          0.03%
пропасть                     1          0.03%
хуторов                      1          0.03%
облепленная                  1          0.03%
двумя                        1          0.03%
сбил                         1          0.03%
отскочила                    1          0.03%
беспокойно                   1          0.03%
длиннополый                  1          0.03%
толку                        1          0.03%
музыке                       1          0.03%
поскрипывало                 1          0.03%
светильник                   1          0.03%
внутри                       1          0.03%
сорвал                       1          0.03%
понизив                      1          0.03%
пахнуло                      1          0.03%
темную                       1          0.03%
жесткой                      1          0.03%
насчет                       1          0.03%
помял                        1          0.03%
пропали                      1          0.03%
некрасивый                   1          0.03%
опустил                      1          0.03%
грязные                      1          0.03%
маслить                      1          0.03%
шуршала                      1          0.03%
лихому                       1          0.03%
ушах                         1          0.03%
льдяной                      1          0.03%
знаешь                       1          0.03%
широком                      1          0.03%
вносить                      1          0.03%
чума                         1          0.03%
грязных                      1          0.03%
заехали                      1          0.03%
подол                        1          0.03%
каша                         1          0.03%
самом                        1          0.03%
прислали                     1          0.03%
навязался                    1          0.03%
самое                        1          0.03%
искры                        1          0.03%
такое                        1          0.03%
ровно                        1          0.03%
бесова                       1          0.03%
выглядывал                   1          0.03%
тряпками                     1          0.03%
руке                         1          0.03%
тракт                        1          0.03%
кончится                     1          0.03%
широкие                      1          0.03%
крепко                       1          0.03%
вздернутым                   1          0.03%
бледное                      1          0.03%
которая                      1          0.03%
тронула                      1          0.03%
слушал                       1          0.03%
неприступнее                 1          0.03%
слушай                       1          0.03%
алексея                      1          0.03%
хриплым                      1          0.03%
останьтесь                   1          0.03%
уловимый                     1          0.03%
лежавшей                     1          0.03%
заместо                      1          0.03%
более                        1          0.03%
дрожали                      1          0.03%
молодой                      1          0.03%
длинный                      1          0.03%
бьет                         1          0.03%
тутошние                     1          0.03%
клонилась                    1          0.03%
фасоном                      1          0.03%
опустив                      1          0.03%
уснувший                     1          0.03%
отвечать                     1          0.03%
печки                        1          0.03%
безумца                      1          0.03%
красивое                     1          0.03%
божью                        1          0.03%
печка                        1          0.03%
ветрами                      1          0.03%
меч                          1          0.03%
предстоит                    1          0.03%
страшном                     1          0.03%
локтем                       1          0.03%
чертяка                      1          0.03%
робея                        1          0.03%
подержал                     1          0.03%
записку                      1          0.03%
возвращаясь                  1          0.03%
заметила                     1          0.03%
приходилось                  1          0.03%
поднимала                    1          0.03%
противная                    1          0.03%
торопливо                    1          0.03%
трогая                       1          0.03%
раздумье                     1          0.03%
басом                        1          0.03%
упершись                     1          0.03%
ладонями                     1          0.03%
услышал                      1          0.03%
испускал                     1          0.03%
слуха                        1          0.03%
развязал                     1          0.03%
замужем                      1          0.03%
раскраснелась                1          0.03%
сознание                     1          0.03%
сбросил                      1          0.03%
ранее                        1          0.03%
пустите                      1          0.03%
пьяный                       1          0.03%
мешают                       1          0.03%
ищет                         1          0.03%
рук                          1          0.03%
закопчено                    1          0.03%
нахмурился                   1          0.03%
усмехнулась                  1          0.03%
касалась                     1          0.03%
стоявшая                     1          0.03%
хотя                         1          0.03%
залезть                      1          0.03%
поменьше                     1          0.03%
иди                          1          0.03%
твоему                       1          0.03%
трубку                       1          0.03%
армянских                    1          0.03%
бесишься                     1          0.03%
люди                         1          0.03%
сугробы                      1          0.03%
купца                        1          0.03%
высокая                      1          0.03%
тропинкам                    1          0.03%
телепень                     1          0.03%
одного                       1          0.03%
выдохнул                     1          0.03%
кожу                         1          0.03%
усах                         1          0.03%
стряхнуть                    1          0.03%
крыше                        1          0.03%
постелью                     1          0.03%
зимнего                      1          0.03%
мутным                       1          0.03%
чёрта                        1          0.03%
среди                        1          0.03%
догадывался                  1          0.03%
похожий                      1          0.03%
ижу                          1          0.03%
понимаю                      1          0.03%
мою                          1          0.03%
моя                          1          0.03%
услышала                     1          0.03%
обаяние                      1          0.03%
лицу                         1          0.03%
заехал                       1          0.03%
дай                          1          0.03%
зато                         1          0.03%
дал                          1          0.03%
лице                         1          0.03%
сопя                         1          0.03%
лица                         1          0.03%
улыбнулся                    1          0.03%
поедем                       1          0.03%
возня                        1          0.03%
бросила                      1          0.03%
ирод                         1          0.03%
дикой                        1          0.03%
тянувшаяся                   1          0.03%
имел                         1          0.03%
кого                         1          0.03%
растоптать                   1          0.03%
которого                     1          0.03%
написаны                     1          0.03%
огороды                      1          0.03%
платком                      1          0.03%
две                          1          0.03%
выходило                     1          0.03%
поднимая                     1          0.03%
круги                        1          0.03%
благородного                 1          0.03%
осталась                     1          0.03%
раскидать                    1          0.03%
ночью                        1          0.03%
держать                      1          0.03%
изнеможенный                 1          0.03%
потому                       1          0.03%
жалобный                     1          0.03%
доведет                      1          0.03%
мух                          1          0.03%
прошептал                    1          0.03%
ответил                      1          0.03%
носило                       1          0.03%
облепленный                  1          0.03%
вернулся                     1          0.03%
муж                          1          0.03%
много                        1          0.03%
сбились                      1          0.03%
несет                        1          0.03%
земле                        1          0.03%
начал                        1          0.03%
животе                       1          0.03%
нежную                       1          0.03%
поехал                       1          0.03%
угрях                        1          0.03%
стук                         1          0.03%
мягкий                       1          0.03%
ночи                         1          0.03%
слышь                        1          0.03%
заедет                       1          0.03%
равнодушный                  1          0.03%
большим                      1          0.03%
польстилась                  1          0.03%
окаянство                    1          0.03%
приедем                      1          0.03%
большие                      1          0.03%
задумался                    1          0.03%
ограду                       1          0.03%
терпения                     1          0.03%
дурацкому                    1          0.03%
вечером                      1          0.03%
поспевать                    1          0.03%
отроков                      1          0.03%
воскресенья                  1          0.03%
замечая                      1          0.03%
большей                      1          0.03%
собрались                    1          0.03%
страданий                    1          0.03%
вскочила                     1          0.03%
угол                         1          0.03%
замечал                      1          0.03%
показалась                   1          0.03%
таявшего                     1          0.03%
снегу                        1          0.03%
тающим                       1          0.03%
разделся                     1          0.03%
женский                      1          0.03%
одеяло                       1          0.03%
придавали                    1          0.03%
дать                         1          0.03%
горю                         1          0.03%
поперек                      1          0.03%
оттого                       1          0.03%
поудобнее                    1          0.03%
мешок                        1          0.03%
поехали                      1          0.03%
годится                      1          0.03%
трясучки                     1          0.03%
лубочных                     1          0.03%
пытка                        1          0.03%
спит                         1          0.03%
клади                        1          0.03%
того                         1          0.03%
горе                         1          0.03%
ворожила                     1          0.03%
ногой                        1          0.03%
служит                       1          0.03%
паучиха                      1          0.03%
пугают                       1          0.03%
лежи                         1          0.03%
проводить                    1          0.03%
кладя                        1          0.03%
боясь                        1          0.03%
конце                        1          0.03%
рельефы                      1          0.03%
почтальоном                  1          0.03%
которую                      1          0.03%
дыхание                      1          0.03%
нервно                       1          0.03%
зазвучал                     1          0.03%
извините                     1          0.03%
странно                      1          0.03%
конца                        1          0.03%
гонялась                     1          0.03%
свой                         1          0.03%
тово                         1          0.03%
здесь                        1          0.03%
токмо                        1          0.03%
искривленное                 1          0.03%
втянуло                      1          0.03%
помалу                       1          0.03%
держали                      1          0.03%
тюку                         1          0.03%
раскаленным                  1          0.03%
двери                        1          0.03%
приметил                     1          0.03%
успевшим                     1          0.03%
переносице                   1          0.03%
жиденький                    1          0.03%
махнул                       1          0.03%
для                          1          0.03%
мешки                        1          0.03%
стояла                       1          0.03%
сказавши                     1          0.03%
волосатое                    1          0.03%
переносицу                   1          0.03%
нынче                        1          0.03%
кружил                       1          0.03%
кривая                       1          0.03%
калиновского                 1          0.03%
будто                        1          0.03%
крикнула                     1          0.03%
бесовской                    1          0.03%
посидим                      1          0.03%
подбородок                   1          0.03%
мелькнула                    1          0.03%
представляла                 1          0.03%
состоявшая                   1          0.03%
грязно                       1          0.03%
домой                        1          0.03%
дьячка                       1          0.03%
прозвучал                    1          0.03%
скрипнула                    1          0.03%
сторожку                     1          0.03%
обстановки                   1          0.03%
дали                         1          0.03%
телу                         1          0.03%
сторожка                     1          0.03%
испуга                       1          0.03%
тело                         1          0.03%
здоровье                     1          0.03%
ишь                          1          0.03%
круто                        1          0.03%
тела                         1          0.03%
стоять                       1          0.03%
глазах                       1          0.03%
господа                      1          0.03%
наказал                      1          0.03%
которые                      1          0.03%
тянулась                     1          0.03%
которым                      1          0.03%
идет                         1          0.03%
перекинул                    1          0.03%
спал                         1          0.03%
щеку                         1          0.03%
свежими                      1          0.03%
растянулся                   1          0.03%
встрепенувшись               1          0.03%
красными                     1          0.03%
проснувшимся                 1          0.03%
урядника                     1          0.03%
дрожащий                     1          0.03%
полкомнаты                   1          0.03%
палец                        1          0.03%
будем                        1          0.03%
будет                        1          0.03%
сна                          1          0.03%
похожую                      1          0.03%
колесико                     1          0.03%
ситцевых                     1          0.03%
ветра                        1          0.03%
другого                      1          0.03%
недавних                     1          0.03%
нею                          1          0.03%
бесами                       1          0.03%
поспать                      1          0.03%
бородке                      1          0.03%
вьюга                        1          0.03%
нем                          1          0.03%
протяжное                    1          0.03%
единственное                 1          0.03%
испуганного                  1          0.03%
побежденное                  1          0.03%
судя                         1          0.03%
лежебока                     1          0.03%
погодой                      1          0.03%
ленив                        1          0.03%
соглашался                   1          0.03%
спи                          1          0.03%
невозможно                   1          0.03%
сенях                        1          0.03%
годе                         1          0.03%
бровях                       1          0.03%
почитай                      1          0.03%
года                         1          0.03%
забарабанил                  1          0.03%
правда                       1          0.03%
стеклах                      1          0.03%
рубахи                       1          0.03%
подбежала                    1          0.03%
помнишь                      1          0.03%
врешь                        1          0.03%
смола                        1          0.03%
таинственность               1          0.03%
почтальонную                 1          0.03%
